n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,673.438,77.7481,528,655.25,665.5,673,963
4,2000.47,574.353,1398,1497.5,1660,2660,2767
8,9481.09,4093.75,5555,5945.25,10523,11072.5,22528
16,35893.2,2358.25,30800,34980.2,35925,35965.2,45130
32,278933,65687.3,220763,240609,246893,288695,463916
64,1.97451e+06,97273.9,1.71316e+06,1.93654e+06,1.98628e+06,2.02796e+06,2.18252e+06
128,1.54511e+07,368372,1.47105e+07,1.52266e+07,1.5426e+07,1.5648e+07,1.63056e+07
256,1.26233e+08,2.99031e+06,1.23331e+08,1.24877e+08,1.26042e+08,1.26704e+08,1.40781e+08
512,1.06535e+09,3.39818e+07,1.02568e+09,1.04345e+09,1.05131e+09,1.09686e+09,1.13072e+09
1024,1.01941e+10,2.70376e+08,9.72875e+09,9.96502e+09,1.01803e+10,1.03509e+10,1.10074e+10
